Ref,Val,Package,PosX,PosY,Rot,Side
"R26","1k","R_0805_2012Metric",85.750000,-105.000000,180.000000,top
"R27","1k","R_0805_2012Metric",85.750000,-102.500000,0.000000,top
"R28","1k","R_0805_2012Metric",81.662500,-105.000000,0.000000,top
"R29","1k","R_0805_2012Metric",82.250000,-102.000000,90.000000,top
"R30","1k","R_0805_2012Metric",82.337500,-107.500000,0.000000,top
"R31","1k","R_0805_2012Metric",82.337500,-110.000000,180.000000,top
"R32","10K","R_0201_0603Metric",138.100000,-77.000000,90.000000,top
"R33","0","R_0201_0603Metric",137.650000,-75.355000,-90.000000,top
"R34","10K","R_0201_0603Metric",143.950000,-68.490000,-90.000000,top
"R35","10K","R_0201_0603Metric",143.000000,-68.490000,90.000000,top
"R39","5.1K","R_0201_0603Metric",190.180000,-93.750000,180.000000,top
"R40","5.1K","R_0201_0603Metric",190.180000,-90.250000,180.000000,top
"R41","22","R_0201_0603Metric",190.335000,-92.250000,180.000000,top
"R42","22","R_0201_0603Metric",190.215000,-91.280000,180.000000,top
"R43","5.1K","R_0201_0603Metric",190.335000,-94.750000,180.000000,top
"REF**","Laird_Technologies_97-2002_25.40x25.40mm","Laird_Technologies_97-2002_25.40x25.40mm",158.360000,-59.465000,0.000000,top
"Rfbb4","10k","R_0805_2012Metric",104.250000,-84.675000,0.000000,top
"Rfbt1","590K","R_0805_2012Metric",97.512500,-86.175000,0.000000,top
"Rfbt2","169K","R_0805_2012Metric",97.512500,-84.000000,180.000000,top
"Rfbt4","30.9k","R_0805_2012Metric",104.425000,-87.587500,90.000000,top
"SW2","SW_Push","SW_PUSH_6mm",125.225000,-89.425000,-90.000000,top
"U.FL","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",178.570000,-66.640000,0.000000,top
"U2","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",176.775000,-82.387500,0.000000,top
"U3","STM32H743IITx","LQFP-176_24x24mm_P0.5mm",146.000000,-91.500000,0.000000,top
"U4","AS7261","AMS_LGA-20_4.7x4.5mm_P0.65mm",181.200000,-76.900000,180.000000,top
"U5","MASWSS0178","MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm_ThermalVias",164.730000,-66.890000,180.000000,top
"U6","ICE40HX8K-BG121","BGA-121_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD",166.300000,-119.200000,180.000000,top
"U7","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",183.250000,-101.575000,-90.000000,top
"U8","SX1262IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",150.830000,-67.000000,-90.000000,top
"U9","TPS563300","SOT-583-8",101.010000,-86.925000,0.000000,top
"U10","LMZM23600V3","Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias",106.400000,-78.600000,0.000000,top
"U11","ADP5090ACP","LFCSP-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",87.000000,-109.500000,0.000000,top
"U12","TPS62932","SOT-583-8",89.165000,-88.250000,0.000000,top
"U13","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",183.250000,-111.095000,0.000000,top
"U14","SN74LVC1G14DRL","SOT-553",165.042500,-63.640000,0.000000,top
"USB_C","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",196.000000,-92.500000,90.000000,top
"Y2","ASDMB-16MHz","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",154.925000,-126.525000,0.000000,top
"Y3","25MHz","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",129.500000,-93.800000,180.000000,top
"Y4","32.768KHZ","Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm",131.100000,-85.000000,-90.000000,top
"Y5","FT5HV","Oscillator_SMD_Fox_FT5H_5.0x3.2mm",143.790000,-65.030000,90.000000,top
