"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
70;"L10";"L_0201_0603Metric";1;"5.6nH";;;
71;"R15";"R_0805_2012Metric";1;"100";;;
72;"C44,C45";"C_0201_0603Metric";2;"1nF";;;
73;"R11,R12,R10";"R_0805_2012Metric";3;"0.15K";;;
74;"D6";"D_SOD-123";1;"1N5819";;;
75;"C85,C84";"C_0201_0603Metric";2;"3.9pF";;;
76;"U9";"SOT-583-8";1;"TPS563300";;;
77;"C5";"C_0201_0603Metric";1;"22pF";;;
78;"BOOT";"SW_E-Switch_EG1224_SPDT_Angled";1;"SW_SPDT";;;
79;"C26,C65";"C_0201_0603Metric";2;"4.7uF";;;
80;"R25";"R_0201_0603Metric";1;"20K";;;
81;"U4";"AMS_LGA-20_4.7x4.5mm_P0.65mm";1;"AS7261";;;
82;"TP18";"TestPoint_Pad_D1.0mm";1;"TestPoint";;;
83;"C2,C3,C1";"C_0402_1005Metric";3;"100nF";;;
84;"R23";"R_0805_2012Metric";1;"6.34M";;;
85;"U6";"BGA-121_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD";1;"ICE40HX8K-BG121";;;
86;"TP3V3";"TestPoint_Pad_D2.5mm";1;"TP_3V3_MCU";;;
87;"J4";"PinSocket_1x06_P1.27mm_Vertical_SMD_Pin1Right";1;"ST-LINK HEADER";;;
88;"U5";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm_ThermalVias";1;"MASWSS0178";;;
89;"U10";"Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias";1;"LMZM23600V3";;;
90;"L5";"L_0201_0603Metric";1;"22uH";;;
91;"U14";"SOT-553";1;"SN74LVC1G14DRL";;;
92;"R5";"R_0201_0603Metric";1;"88.7K";;;
93;"F2";"Fuse_0402_1005Metric";1;"6V,500mA";;;
94;"C51";"C_0201_0603Metric";1;"10pF";;;
95;"L11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"0";;;
96;"R3,R2";"R_0201_0603Metric";2;"100";;;
97;"Y4";"Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm";1;"32.768KHZ";;;
98;"L3";"L_0201_0603Metric";1;"470nH";;;
99;"R16";"R_0805_2012Metric";1;"1";;;
100;"Y5";"Oscillator_SMD_Fox_FT5H_5.0x3.2mm";1;"FT5HV";;;
101;"L9";"L_0201_0603Metric";1;"3.9nH";;;
102;"J1";"PinHeader_1x04_P1.00mm_Vertical";1;"Soil Connector Socket";;;
103;"C41";"C_0402_1005Metric";1;"470nF";;;
104;"Y2";"Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm";1;"ASDMB-16MHz";;;
105;"R24";"R_0805_2012Metric";1;"14.7M";;;
106;"U3";"LQFP-176_24x24mm_P0.5mm";1;"STM32H743IITx";;;
107;"R4";"R_0201_0603Metric";1;"511K";;;
